,"perplexity: 10, early_exaggeration: 4.0, learning_rate: 250, metric: correlation, init: pca", , 
,tSNE 1,tSNE 2,HDBSCAN label
IL7051-723-507,15.629457473754883,-17.788345336914062,27.0
IL7051-720-516,-33.13506317138672,42.40808868408203,9.0
IL7051-726-515,3.4179723262786865,19.361534118652344,12.0
IL7051-703-511,37.46908950805664,28.47291374206543,8.0
IL7051-719-517,-29.42474365234375,2.0006861686706543,13.0
IL7051-711-507,13.843080520629883,-22.838258743286133,29.0
IL7051-729-505,-15.212519645690918,-59.491878509521484,1.0
IL7051-701-522,9.600065231323242,-50.642276763916016,0.0
IL7051-706-510,-8.35038948059082,-33.71995544433594,22.0
IL7051-714-506,12.098992347717285,-21.44757843017578,29.0
IL7051-727-505,-9.391374588012695,-62.23191452026367,1.0
IL7051-720-505,-31.233217239379883,46.618865966796875,9.0
IL7051-718-507,7.945277214050293,-48.05418395996094,0.0
IL7051-701-510,45.74848556518555,-4.174596309661865,6.0
IL7051-710-517,-29.534215927124023,44.61220169067383,9.0
IL7051-728-515,-34.445457458496094,5.308618068695068,13.0
IL7051-721-520,-1.795518159866333,-7.843812942504883,19.0
IL7051-728-518,44.9105339050293,38.04310607910156,8.0
IL7051-720-502,35.17546844482422,-19.36857032775879,17.0
IL7051-702-506,-3.607738971710205,4.301136493682861,4.0
IL7051-701-517,12.944108009338379,-21.322519302368164,29.0
IL7051-720-508,25.831958770751953,-12.523794174194336,26.0
IL7051-723-513,-32.87820816040039,49.10478973388672,9.0
IL7051-710-510,-25.331886291503906,-26.956987380981445,10.0
IL7051-727-508,23.30743408203125,40.97673416137695,21.0
IL7051-706-517,9.179207801818848,-49.82807922363281,0.0
IL7051-724-513,-25.95865249633789,16.91883659362793,14.0
IL7051-727-502,-62.25535202026367,-1.5801613330841064,3.0
IL7051-705-506,-8.864970207214355,-34.93223571777344,22.0
IL7051-729-508,-7.917670249938965,-59.68037414550781,1.0
IL7051-712-511,-60.197059631347656,1.4701734781265259,3.0
IL7051-703-516,-9.510764122009277,-34.9490966796875,22.0
IL7051-728-520,18.384613037109375,10.52755355834961,7.0
IL7051-722-503,43.01337432861328,28.625532150268555,8.0
IL7051-721-518,13.715841293334961,-22.508115768432617,29.0
IL7051-723-521,-54.01769256591797,-19.484296798706055,2.0
IL7051-729-502,37.974342346191406,-39.32017135620117,16.0
IL7051-726-518,-6.969976425170898,-32.92399215698242,22.0
IL7051-707-507,-3.9220502376556396,3.800471067428589,4.0
IL7051-724-521,33.356292724609375,47.52946090698242,5.0
